sym_id,symptom,disease,diagnosis,treatment
125,"Vision changes, blurriness, or loss of peripheral vision",Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
126,Early or delayed puberty,Craniopharyngioma - Childhood,"Physical examination,Blood and/or urine tests,Biopsy,MRI and CT scan.","surgery,Radiation therapy."
127,"Soreness or pain caused by the tumor pressing on nearby nerves, muscles, or blood vessels",Desmoid Tumor,"Imaging tests,Biopsy,MRI,CT scan.","Surgery,Cryosurgery or cryoablation,Radiation therapy,Radiofrequency thermal ablation,Nonsteroidal anti-inflammatory drugs,hormone,targeted therapy,chemptherapy."
128,Bloating,Desmoid Tumor,"Imaging tests,Biopsy,MRI,CT scan.","Surgery,Cryosurgery or cryoablation,Radiation therapy,Radiofrequency thermal ablation,Nonsteroidal anti-inflammatory drugs,hormone,targeted therapy,chemptherapy."
129,"Tingling or a feeling of ?ins and needles,?when the tumor presses on local nerves or blood vessels",Desmoid Tumor,"Imaging tests,Biopsy,MRI,CT scan.","Surgery,Cryosurgery or cryoablation,Radiation therapy,Radiofrequency thermal ablation,Nonsteroidal anti-inflammatory drugs,hormone,targeted therapy,chemptherapy."
130,Constipation,Desmoid Tumor,"Imaging tests,Biopsy,MRI,CT scan.","Surgery,Cryosurgery or cryoablation,Radiation therapy,Radiofrequency thermal ablation,Nonsteroidal anti-inflammatory drugs,hormone,targeted therapy,chemptherapy."
131,Limping or other difficulties moving the legs or feet,Desmoid Tumor,"Imaging tests,Biopsy,MRI,CT scan.","Surgery,Cryosurgery or cryoablation,Radiation therapy,Radiofrequency thermal ablation,Nonsteroidal anti-inflammatory drugs,hormone,targeted therapy,chemptherapy."
132,Abdominal pain,Desmoid Tumor,"Imaging tests,Biopsy,MRI,CT scan.","Surgery,Cryosurgery or cryoablation,Radiation therapy,Radiofrequency thermal ablation,Nonsteroidal anti-inflammatory drugs,hormone,targeted therapy,chemptherapy."
133,Difficulty moving the arms or hands,Desmoid Tumor,"Imaging tests,Biopsy,MRI,CT scan.","Surgery,Cryosurgery or cryoablation,Radiation therapy,Radiofrequency thermal ablation,Nonsteroidal anti-inflammatory drugs,hormone,targeted therapy,chemptherapy."
134,Rupture of intestines,Desmoid Tumor,"Imaging tests,Biopsy,MRI,CT scan.","Surgery,Cryosurgery or cryoablation,Radiation therapy,Radiofrequency thermal ablation,Nonsteroidal anti-inflammatory drugs,hormone,targeted therapy,chemptherapy."
135,Rapid skull growth or an increase in head size during infancy,"Desmoplastic Infantile Ganglioglioma, Childhood Tumor","Biopsy,MRI,CT scan.","surgery,chemptherapy."
136,"Seizures or convulsions, which are sudden, involuntary movements of a person? muscles","Desmoplastic Infantile Ganglioglioma, Childhood Tumor","Biopsy,MRI,CT scan.","surgery,chemptherapy."
137,Abnormal or decreased sensations,"Desmoplastic Infantile Ganglioglioma, Childhood Tumor","Biopsy,MRI,CT scan.","surgery,chemptherapy."
138,Numbness,"Desmoplastic Infantile Ganglioglioma, Childhood Tumor","Biopsy,MRI,CT scan.","surgery,chemptherapy."
139,"Tense and bulging fontanelle, which is the infant? ?oft spot?on the head","Desmoplastic Infantile Ganglioglioma, Childhood Tumor","Biopsy,MRI,CT scan.","surgery,chemptherapy."
140,Weakness,"Desmoplastic Infantile Ganglioglioma, Childhood Tumor","Biopsy,MRI,CT scan.","surgery,chemptherapy."
141,Loss of muscle control,"Desmoplastic Infantile Ganglioglioma, Childhood Tumor","Biopsy,MRI,CT scan.","surgery,chemptherapy."
142,Increased or decreased muscle tone,"Desmoplastic Infantile Ganglioglioma, Childhood Tumor","Biopsy,MRI,CT scan.","surgery,chemptherapy."
143,"Paralysis, which is being unable to move part or all of the body","Desmoplastic Infantile Ganglioglioma, Childhood Tumor","Biopsy,MRI,CT scan.","surgery,chemptherapy."
144,Pressure or burning in the chest,Esophageal Cancer,"Upper endoscopy,Endoscopic ultrasound,Biopsy,MRI,CT,PET-CT scan.","surgery,Radiation,endoscopic Therapy."
145,Vomiting,Esophageal Cancer,"Upper endoscopy,Endoscopic ultrasound,Biopsy,MRI,CT,PET-CT scan.","surgery,Radiation,endoscopic Therapy."
146,Indigestion or heartburn,Esophageal Cancer,"Upper endoscopy,Endoscopic ultrasound,Biopsy,MRI,CT,PET-CT scan.","surgery,Radiation,endoscopic Therapy."
147,Frequent choking on food,Esophageal Cancer,"Upper endoscopy,Endoscopic ultrasound,Biopsy,MRI,CT,PET-CT scan.","surgery,Radiation,endoscopic Therapy."
148,Unexplained weight loss,Esophageal Cancer,"Upper endoscopy,Endoscopic ultrasound,Biopsy,MRI,CT,PET-CT scan.","surgery,Radiation,endoscopic Therapy."
149,Coughing or hoarseness,Esophageal Cancer,"Upper endoscopy,Endoscopic ultrasound,Biopsy,MRI,CT,PET-CT scan.","surgery,Radiation,endoscopic Therapy."
150,Pain behind the breastbone or in the throat,Esophageal Cancer,"Upper endoscopy,Endoscopic ultrasound,Biopsy,MRI,CT,PET-CT scan.","surgery,Radiation,endoscopic Therapy."
151,Having trouble seeing,Eye Cancer,"Eye examination,Fluorescein angiography,Fine needle biopsy,ultrasound,CT,PET-CT,MRI scan.","surgery,Radiation,laser therapy."
152,Seeing flashes of light,Eye Cancer,"Eye examination,Fluorescein angiography,Fine needle biopsy,ultrasound,CT,PET-CT,MRI scan.","surgery,Radiation,laser therapy."
153,Losing part of the field of vision,Eye Cancer,"Eye examination,Fluorescein angiography,Fine needle biopsy,ultrasound,CT,PET-CT,MRI scan.","surgery,Radiation,laser therapy."
154,"Seeing spots, squiggly lines, or floating objects (floaters)",Eye Cancer,"Eye examination,Fluorescein angiography,Fine needle biopsy,ultrasound,CT,PET-CT,MRI scan.","surgery,Radiation,laser therapy."
155,"Having a dark spot on the iris. Unlike choroidal and ciliary body melanoma, iris melanoma can sometimes be seen because it looks like dark spots on the eye.",Eye Cancer,"Eye examination,Fluorescein angiography,Fine needle biopsy,ultrasound,CT,PET-CT,MRI scan.","surgery,Radiation,laser therapy."
156,A change in appearance of the eyelid skin,Eyelid Cancer,"MRI,CT,PET-CT scan,ultrasound","Surgery,Chemotherapy,Radiation therapy"
157,Thickening of the eyelid,Eyelid Cancer,"MRI,CT,PET-CT scan,ultrasound","Surgery,Chemotherapy,Radiation therapy"
158,Swelling of the eyelid,Eyelid Cancer,"MRI,CT,PET-CT scan,ultrasound","Surgery,Chemotherapy,Radiation therapy"
159,Chronic infection of the eyelid,Eyelid Cancer,"MRI,CT,PET-CT scan,ultrasound","Surgery,Chemotherapy,Radiation therapy"
160,An ulceration (area where skin is broken) on the eyelid that does not heal,Eyelid Cancer,"MRI,CT,PET-CT scan,ultrasound","Surgery,Chemotherapy,Radiation therapy"
161,"A spreading, colored mass on the eyelid",Eyelid Cancer,"MRI,CT,PET-CT scan,ultrasound","Surgery,Chemotherapy,Radiation therapy"
162,"Jaundice (yellowing of the skin, including the gums and inner lips, and yellowing of the whites of the eyes)",Gallbladder Cancer,"MRI,CT,PET-CT scan,biopsy.","Cholecystectomy,suregery,Radiation therapy,chemotherapy,immunotherapy."
163,Abdominal pain and cramping,Gallbladder Cancer,"MRI,CT,PET-CT scan,biopsy.","Cholecystectomy,suregery,Radiation therapy,chemotherapy,immunotherapy."
164,Bloating,Gallbladder Cancer,"MRI,CT,PET-CT scan,biopsy.","Cholecystectomy,suregery,Radiation therapy,chemotherapy,immunotherapy."
165,A lump in the abdomen,Gallbladder Cancer,"MRI,CT,PET-CT scan,biopsy.","Cholecystectomy,suregery,Radiation therapy,chemotherapy,immunotherapy."
166,Nausea and vomiting,Gallbladder Cancer,"MRI,CT,PET-CT scan,biopsy.","Cholecystectomy,suregery,Radiation therapy,chemotherapy,immunotherapy."
167,Fever,Gallbladder Cancer,"MRI,CT,PET-CT scan,biopsy.","Cholecystectomy,suregery,Radiation therapy,chemotherapy,immunotherapy."
168,Itchy skin,Gallbladder Cancer,"MRI,CT,PET-CT scan,biopsy.","Cholecystectomy,suregery,Radiation therapy,chemotherapy,immunotherapy."
169,Pain or discomfort in the abdomen,Gastrointestinal Stromal Tumor,"Biopsy,Biomarker testing of the tumor,MRI,CT,PET-CT scan.","surgery,Radiation therapy,Chemotherapy"
170,Vomiting blood,Gastrointestinal Stromal Tumor,"Biopsy,Biomarker testing of the tumor,MRI,CT,PET-CT scan.","surgery,Radiation therapy,Chemotherapy"
171,A mass in the abdomen that you can feel with your hand,Gastrointestinal Stromal Tumor,"Biopsy,Biomarker testing of the tumor,MRI,CT,PET-CT scan.","surgery,Radiation therapy,Chemotherapy"
172,Blood in the stool,Gastrointestinal Stromal Tumor,"Biopsy,Biomarker testing of the tumor,MRI,CT,PET-CT scan.","surgery,Radiation therapy,Chemotherapy"
173,Bowel obstruction,Gastrointestinal Stromal Tumor,"Biopsy,Biomarker testing of the tumor,MRI,CT,PET-CT scan.","surgery,Radiation therapy,Chemotherapy"
174,"Fatigue due to anemia, which is a low red blood cell count and is often caused by bleeding in the GI tract",Gastrointestinal Stromal Tumor,"Biopsy,Biomarker testing of the tumor,MRI,CT,PET-CT scan.","surgery,Radiation therapy,Chemotherapy"
175,Nausea and vomiting,Gastrointestinal Stromal Tumor,"Biopsy,Biomarker testing of the tumor,MRI,CT,PET-CT scan.","surgery,Radiation therapy,Chemotherapy"
176,Swelling or a sore that does not heal; this is the most common symptom,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
177,Double vision,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
178,Red or white patch in the mouth,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
179,Difficulty breathing,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
180,"Lump, bump, or mass in the head or neck area, with or without pain",Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
181,Frequent nose bleeds and/or unusual nasal discharge,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
182,Persistent sore throat,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
183,Nasal obstruction or persistent nasal congestion,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
184,Foul mouth odor not explained by hygiene,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
185,Numbness or weakness of a body part in the head and neck region,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
186,Hoarseness or change in voice,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
187,"Pain or difficulty chewing, swallowing, or moving the jaw or tongue",Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
188,Jaw pain,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
189,Fatigue,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
190,"Blood in the saliva or phlegm, which is mucus discharged into the mouth from respiratory passages",Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
191,Loosening of teeth,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
192,Dentures that no longer fit,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
193,Unexplained weight loss,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
194,Ear pain or infection,Head and Neck Cancer,"Physical examination/blood and urine tests,X-ray/barium swallow,Panoramic radiograph,ultrasound,MRI,CT,PET-CT scan.","chemotherapy, immunotherapy, and targeted,radiation therapy."
195,Blood in the urine,Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
194,Pain or pressure in the side or back,Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
195,A mass or lump in the side or back,Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
196,Swelling of the ankles and legs,Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
197,High blood pressure,Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
198,"Anemia, which is a low red blood cell count",Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
199,Fatigue,Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
200,Loss of appetite,Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
201,Unexplained weight loss,Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
202,"Fever that keeps coming back and is not from a cold, flu, or other infection",Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
203,"In the testicles, a rapid development of a cluster of enlarged veins, known as a varicocele, around a testicle, particularly the right testicle, may indicate that a large kidney tumor may be present",Kidney Cancer," Blood and urine tests, Biopsy,Biomarker testing of the tumor,Computed tomography scan,X-ray,Magnetic resonance imaging (MRI),Cystoscopy and nephro-ureteroscopy,Image testing.","Radical nephrectomy,Partial nephrectomy,Laparoscopic and robotic surgery (minimally invasive surgery),Cytoreductive nephrectomy,Metastasectomy,Radiofrequency ablation,Cryoablation,Anti-angiogenesis therapy,Bevacizumab (Avastin),Tyrosine kinase inhibitors,Alpha-interferon."
204,"Pain, especially at the top right of the abdominal area, near the right shoulder blade, or in the back",Liver Cancer,"Physical examination,Angiogram,Blood tests,Laparoscopy,Biopsy,Magnetic resonance imaging (MRI),CT scan.",
205,Unexplained weight loss,Liver Cancer,"Physical examination,Angiogram,Blood tests,Laparoscopy,Biopsy,Magnetic resonance imaging (MRI),CT scan.",
206,"A hard lump under the ribs on the right side of the body, which could be the tumor or a sign that the liver has gotten bigger",Liver Cancer,"Physical examination,Angiogram,Blood tests,Laparoscopy,Biopsy,Magnetic resonance imaging (MRI),CT scan.",
207,Weakness or fatigue,Liver Cancer,"Physical examination,Angiogram,Blood tests,Laparoscopy,Biopsy,Magnetic resonance imaging (MRI),CT scan.",
208,"Yellowing of the skin or eyes, called jaundice",Liver Cancer,"Physical examination,Angiogram,Blood tests,Laparoscopy,Biopsy,Magnetic resonance imaging (MRI),CT scan.",
209,Fatigue,Lung Cancer - Non-Small Cell,"Computed tomography (CT or CAT)scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,Biopsy,Bronchoscopy,Needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,MediastinoscopyThoracotomy,Comprehensive biomarker testing","Surgery,Radiation therapy,Chemotherapy,Targeted therapy,Immunotherapy,Lobectomy,A wedge resection,Segmentectomy,Pneumonectomy"
210,Cough,Lung Cancer - Non-Small Cell,"Computed tomography (CT or CAT)scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,Biopsy,Bronchoscopy,Needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,MediastinoscopyThoracotomy,Comprehensive biomarker testing","Surgery,Radiation therapy,Chemotherapy,Targeted therapy,Immunotherapy,Lobectomy,A wedge resection,Segmentectomy,Pneumonectomy"
211,Shortness of breath,Lung Cancer - Non-Small Cell,"Computed tomography (CT or CAT)scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,Biopsy,Bronchoscopy,Needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,MediastinoscopyThoracotomy,Comprehensive biomarker testing","Surgery,Radiation therapy,Chemotherapy,Targeted therapy,Immunotherapy,Lobectomy,A wedge resection,Segmentectomy,Pneumonectomy"
212,"Chest pain, if a tumor spreads to the lining of the lung or other parts of the body near the lungs",Lung Cancer - Non-Small Cell,"Computed tomography (CT or CAT)scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,Biopsy,Bronchoscopy,Needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,MediastinoscopyThoracotomy,Comprehensive biomarker testing","Surgery,Radiation therapy,Chemotherapy,Targeted therapy,Immunotherapy,Lobectomy,A wedge resection,Segmentectomy,Pneumonectomy"
213,Loss of appetite,Lung Cancer - Non-Small Cell,"Computed tomography (CT or CAT)scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,Biopsy,Bronchoscopy,Needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,MediastinoscopyThoracotomy,Comprehensive biomarker testing","Surgery,Radiation therapy,Chemotherapy,Targeted therapy,Immunotherapy,Lobectomy,A wedge resection,Segmentectomy,Pneumonectomy"
214,Coughing up phlegm or mucus,Lung Cancer - Non-Small Cell,"Computed tomography (CT or CAT)scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,Biopsy,Bronchoscopy,Needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,MediastinoscopyThoracotomy,Comprehensive biomarker testing","Surgery,Radiation therapy,Chemotherapy,Targeted therapy,Immunotherapy,Lobectomy,A wedge resection,Segmentectomy,Pneumonectomy"
215,Coughing up blood,Lung Cancer - Non-Small Cell,"Computed tomography (CT or CAT)scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,Biopsy,Bronchoscopy,Needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,MediastinoscopyThoracotomy,Comprehensive biomarker testing","Surgery,Radiation therapy,Chemotherapy,Targeted therapy,Immunotherapy,Lobectomy,A wedge resection,Segmentectomy,Pneumonectomy"
216,Unintentional weight loss,Lung Cancer - Non-Small Cell,"Computed tomography (CT or CAT)scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,Biopsy,Bronchoscopy,Needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,MediastinoscopyThoracotomy,Comprehensive biomarker testing","Surgery,Radiation therapy,Chemotherapy,Targeted therapy,Immunotherapy,Lobectomy,A wedge resection,Segmentectomy,Pneumonectomy"
217,Hoarseness,Lung Cancer - Non-Small Cell,"Computed tomography (CT or CAT)scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,Biopsy,Bronchoscopy,Needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,MediastinoscopyThoracotomy,Comprehensive biomarker testing","Surgery,Radiation therapy,Chemotherapy,Targeted therapy,Immunotherapy,Lobectomy,A wedge resection,Segmentectomy,Pneumonectomy"
218,Fatigue,Lung Cancer - Small Cell,"Biopsy,Bronchoscopy,Fine needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,Mediastinoscopy,Thoracotomy,CT scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,","Chemotherapy,immunotherapy,radiation therapy,surgery"
219,Cough,Lung Cancer - Small Cell,"Biopsy,Bronchoscopy,Fine needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,Mediastinoscopy,Thoracotomy,CT scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,","Chemotherapy,immunotherapy,radiation therapy,surgery"
220,Shortness of breath,Lung Cancer - Small Cell,"Biopsy,Bronchoscopy,Fine needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,Mediastinoscopy,Thoracotomy,CT scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,","Chemotherapy,immunotherapy,radiation therapy,surgery"
221,Chest pain,Lung Cancer - Small Cell,"Biopsy,Bronchoscopy,Fine needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,Mediastinoscopy,Thoracotomy,CT scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,","Chemotherapy,immunotherapy,radiation therapy,surgery"
222,Loss of appetite,Lung Cancer - Small Cell,"Biopsy,Bronchoscopy,Fine needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,Mediastinoscopy,Thoracotomy,CT scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,","Chemotherapy,immunotherapy,radiation therapy,surgery"
223,Unexplained weight loss,Lung Cancer - Small Cell,"Biopsy,Bronchoscopy,Fine needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,Mediastinoscopy,Thoracotomy,CT scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,","Chemotherapy,immunotherapy,radiation therapy,surgery"
224,Coughing up phlegm or mucus,Lung Cancer - Small Cell,"Biopsy,Bronchoscopy,Fine needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,Mediastinoscopy,Thoracotomy,CT scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,","Chemotherapy,immunotherapy,radiation therapy,surgery"
225,Coughing up blood,Lung Cancer - Small Cell,"Biopsy,Bronchoscopy,Fine needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,Mediastinoscopy,Thoracotomy,CT scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,","Chemotherapy,immunotherapy,radiation therapy,surgery"
226,Swelling of the neck or face,Lung Cancer - Small Cell,"Biopsy,Bronchoscopy,Fine needle aspiration/core biopsy,Thoracentesis,Thoracoscopy,Mediastinoscopy,Thoracotomy,CT scan,Positron emission tomography (PET) scan,Magnetic resonance imaging (MRI) scan,Bone scan,","Chemotherapy,immunotherapy,radiation therapy,surgery"
227,"Nasal obstruction or persistent nasal congestion and stuffiness, which is often called sinus congestion",Nasal Cavity and Paranasal Sinus Cancer,"Biopsy,Endoscopy,X-ray,Computed tomography (CT or CAT) scan,Magnetic resonance imaging (MRI),Bone scan,Positron emission tomography (PET) or PET-CT scan","surgery,Excision,Maxillectomy,Craniofacial resection/skull base surgery,Endoscopic sinus surgery,Neck dissection,Reconstructive (plastic) surgery,Intensity-modulated radiation therapy (IMRT),Proton therapy,Internal radiation therapy,chemotherapy,oimmunotherapy."
